Date,Cash_In_Circulation_Cr
2016-01-01,2005600
2016-02-01,2045000
2016-03-01,2180700
2016-04-01,2157900
2016-05-01,2156500
2016-06-01,2166400
2016-07-01,2167500
2016-08-01,2170400
2016-09-01,2186300
2016-10-01,2239800
2016-11-01,1649000
2016-12-01,1435600
2017-01-01,1497400
2017-02-01,1646400
2017-03-01,1900500
2017-04-01,1929100
2017-05-01,1969600
2017-06-01,2056800
2017-07-01,2033200
2017-08-01,2068600
2017-09-01,2098900
2017-10-01,2125000
2017-11-01,2151000
2017-12-01,2237600
2018-01-01,2250300
2018-02-01,2293800
2018-03-01,2418800
2018-04-01,2450100
2018-05-01,2461000
2018-06-01,2491600
2018-07-01,2452200
2018-08-01,2461000
2018-09-01,2490200
2018-10-01,2493900
2018-11-01,2556900
2018-12-01,2618000
2019-01-01,2614800
2019-02-01,2671800
2019-03-01,2770500
2019-04-01,2768100
2019-05-01,2800100
2019-06-01,2828600
2019-07-01,2768500
2019-08-01,2783200
2019-09-01,2788200
2019-10-01,2876200
2019-11-01,2874300
2019-12-01,2884900
2020-01-01,2937100
2020-02-01,2974300
2020-03-01,3029700
2020-04-01,3019700
2020-05-01,3131600
2020-06-01,3163700
2020-07-01,3181400
2020-08-01,3193300
2020-09-01,3189400
2020-10-01,3244500
2020-11-01,3313200
2020-12-01,3314200
2021-01-01,3361900
2021-02-01,3378700
2021-03-01,3600000
2021-04-01,3585500
2021-05-01,3705400
2021-06-01,3699000
2021-07-01,3716000
2021-08-01,3679200
2021-09-01,3659400
2021-10-01,3703500
2021-11-01,3736100
2021-12-01,3802800
2022-01-01,3814300
2022-02-01,3847500
2022-03-01,4068900
2022-04-01,4059200
2022-05-01,4092100
2022-06-01,4104000
2022-07-01,4134000
2022-08-01,4059600
2022-09-01,4129900
2022-10-01,4118900
2022-11-01,4146900
2022-12-01,4195400
2023-01-01,4226600
2023-02-01,4250600
2023-03-01,4386800
2023-04-01,4474100
2023-05-01,4422000
2023-06-01,4370300
2023-07-01,4355300
2023-08-01,4455600
2023-09-01,4395300
2023-10-01,4345600
2023-11-01,4424600
2023-12-01,4445300
2024-01-01,4493800
2024-02-01,4511300
2024-03-01,4631400
2024-04-01,4734200
2024-05-01,4676700
2024-06-01,4695100
2024-07-01,4667500
2024-08-01,4668500
2024-09-01,4660900
2024-10-01,4738800
2024-11-01,4737900
2024-12-01,4663100
2025-01-01,4689400
2025-02-01,4750700
2025-03-01,4829200
2025-04-01,4909900
2025-05-01,4962500
2025-06-01,4924100
2025-07-01,4888300
2025-08-01,4940900
2025-09-01,4872000
2025-10-01,4833500
2025-11-01,4814100
2025-12-01,4799100
