Year,UPI,Cash
2026.0,49462.39310981853,7640456.606890181
2026.0837988826815,53829.78736452552,7675793.712635475
2026.167597765363,58628.70826533468,7717335.791734665
2026.2513966480446,63726.9030513759,7743482.596948625
2026.3351955307262,69292.08338153099,7772371.916618469
2026.4189944134077,75285.21323192697,7795358.286768073
2026.5027932960893,81888.50737119456,7827188.492628806
2026.5865921787708,89040.84882879854,7856490.151171201
2026.6703910614526,96806.56043095542,7884978.439569044
2026.7541899441342,105289.11177207646,7916543.888227923
2026.8379888268157,114380.12650127728,7938878.873498723
2026.9217877094973,124339.35271107189,7966611.647288928
2027.0055865921788,135043.05511740723,7987184.944882592
2027.0893854748604,146592.08076422184,8003656.419235778
2027.173184357542,159096.31784917365,8018525.182150827
2027.2569832402235,172622.07472318277,8031323.925276817
2027.340782122905,187260.79072722327,8042556.209272777
2027.4245810055866,203092.36989783304,8051880.130102167
2027.508379888268,220211.5238257466,8059352.976174254
2027.5921787709497,238701.66527615007,8064399.334723851
2027.6759776536312,258665.4649521138,8066989.035047886
2027.7597765363128,280209.42340587045,8067002.576594129
2027.8435754189943,303440.34566394036,8064161.65433606
2027.927374301676,328490.82857246784,8058711.171427533
2028.0111731843576,355475.85409870493,8050241.145901294
2028.0949720670392,384539.12196261145,8038883.878037389
2028.1787709497207,415826.5713278377,8024609.428672163
2028.2625698324023,449485.7132809164,8007261.286719083
2028.3463687150838,485671.85745700245,7986702.142542998
2028.4301675977654,524545.4862709497,7962769.51372905
2028.513966480447,566273.5430844794,7935306.456915521
2028.5977653631285,611028.1017032813,7904147.898296719
2028.68156424581,658988.0806575328,7869150.919342468
2028.7653631284916,710335.5826793794,7830154.41732062
2028.8491620111731,765256.6427559853,7787002.357244015
2028.9329608938547,823940.5406374765,7739546.459362524
2029.0167597765362,886574.9100879063,7687613.089912093
2029.1005586592178,953348.3964135406,7631047.6035864595
2029.1843575418995,1024445.0506291755,7569681.949370825
2029.268156424581,1100044.327531151,7503356.6724688485
2029.3519553072626,1180318.3498674922,7431919.650132508
2029.4357541899442,1265428.2895991271,7355222.710400873
2029.5195530726257,1355523.5456486202,7273137.4543513805
2029.6033519553073,1450736.764780436,7185546.235219564
